State,HSpop
Alabama,49844.0
Alaska,7796.0
Arizona,68627.0
Arkansas,31126.0
California,435365.0
Colorado,57545.0
Connecticut,40782.0
Delaware,9809.0
DistrictofColumbia,5397.0
Florida,181306.0
Georgia,106727.0
Hawaii,14043.0
Idaho,20239.0
Illinois,146800.0
Indiana,73285.0
Iowa,35471.0
Kansas,35398.0
Kentucky,46389.0
Louisiana,46235.0
Maine,14428.0
Maryland,63485.0
Massachusetts,73992.0
Michigan,104586.0
Minnesota,61766.0
Mississippi,29788.0
Missouri,68681.0
Montana,9402.0
Nebraska,23627.0
Nevada,24688.0
New Hampshire,15401.0
New Jersey,103598.0
New Mexico,20478.0
New York,206830.0
North Carolina,106104.0
North Dakota,7400.0
Ohio,124473.0
Oklahoma,41753.0
Oregon,36734.0
Pennsylvania,139053.0
Rhode Island,10464.0
South Carolina,46536.0
South Dakota,8703.0
Tennessee,67863.0
Texas,341613.0
Utah,38706.0
Vermont,6777.0
Virginia,90456.0
Washington,70307.0
WestVirginia,17815.0
Wisconsin,66246.0
Wyoming,5820.0
