State,s17_Participation,s17_English,s17_Math,s17_Total,a17_Participation,a17_English,a17_Math,a17_Reading,a17_Science,a17_Composite,s18_Participation,s18_English,s18_Math,s18_Total,a18_Participation,a18_Composite,a18_English,a18_Math,a18_Reading,a18_Science,p17_Participation,p17_English,p17_Math,p17_Total,s17_PSAT,s18_nosatnum,18_Participation
Alabama,5,593,572,1165,100,18.9,18.4,19.7,19.4,19.2,6,595,571,1166,100,19.1,18.9,18.3,19.6,19.0,50,545.0,514.0,1058.0,73.0,46853.0,106
Alaska,38,547,533,1080,65,18.7,19.8,20.4,19.9,19.8,43,562,544,1106,33,20.8,19.8,20.6,21.6,20.7,58,539.0,524.0,1063.0,58.0,4444.0,76
Arizona,30,563,553,1116,62,18.6,19.8,20.1,19.8,19.7,29,577,572,1149,66,19.2,18.2,19.4,19.5,19.2,42,522.0,512.0,1035.0,80.0,48725.0,95
Arkansas,3,614,594,1208,100,18.9,19.0,19.7,19.5,19.4,5,592,576,1169,100,19.4,19.1,18.9,19.7,19.4,27,560.0,531.0,1091.0,81.0,29570.0,105
California,53,531,524,1055,31,22.5,22.7,23.1,22.2,22.8,60,540,536,1076,27,22.7,22.5,22.5,23.0,22.1,43,501.0,492.0,994.0,82.0,174146.0,87
Colorado,11,606,595,1201,100,20.1,20.3,21.2,20.9,20.8,100,519,506,1025,30,23.9,23.9,23.2,24.4,23.5,23,557.0,542.0,1099.0,77.0,0.0,130
Connecticut,100,530,512,1041,31,25.5,24.6,25.6,24.6,25.2,100,535,519,1053,26,25.6,26.0,24.8,26.1,24.9,49,512.0,494.0,1005.0,92.0,0.0,126
Delaware,100,503,492,996,18,24.1,23.4,24.8,23.6,24.1,100,505,492,998,17,23.2,23.7,23.1,24.5,23.4,37,510.0,497.0,1007.0,91.0,0.0,117
District of Columbia,100,482,468,950,32,24.4,23.5,24.9,23.5,24.2,92,497,480,977,32,23.6,23.7,22.7,24.4,23.0,45,480.0,471.0,951.0,87.0,432.0,124
Florida,83,520,497,1017,73,19.0,19.4,21.0,19.4,19.8,97,522,493,1014,66,19.9,19.2,19.3,21.1,19.5,30,510.0,494.0,1004.0,84.0,5439.0,163
Georgia,61,535,515,1050,55,21.0,20.9,22.0,21.3,21.4,70,542,522,1064,53,21.4,20.9,20.7,21.2,21.4,22,531.0,517.0,1048.0,87.0,32018.0,123
Hawaii,55,544,541,1085,90,17.8,19.2,19.2,19.3,19.0,56,550,549,1099,89,18.9,18.2,19.0,19.1,19.0,51,529.0,520.0,1048.0,74.0,6179.0,145
Idaho,93,513,493,1005,38,21.9,21.8,23.0,22.1,22.3,100,508,493,1001,36,22.3,21.9,21.6,23.2,22.1,26,530.0,511.0,1042.0,83.0,0.0,136
Illinois,9,559,556,1115,93,21.0,21.2,21.6,21.3,21.4,99,513,506,1019,43,23.9,24.1,23.4,24.2,23.4,45,506.0,501.0,1008.0,66.0,1468.0,142
Indiana,63,542,532,1074,35,22.0,22.4,23.2,22.3,22.6,67,546,539,1086,32,22.5,21.9,22.3,23.1,22.2,42,501.0,497.0,998.0,94.0,24184.0,99
Iowa,2,641,635,1275,67,21.2,21.3,22.6,22.1,21.9,3,634,631,1265,68,21.8,21.0,21.2,22.5,22.0,64,560.0,543.0,1103.0,76.0,34407.0,71
Kansas,4,632,628,1260,73,21.1,21.3,22.3,21.7,21.7,4,633,631,1265,71,21.6,21.0,21.1,22.3,21.5,46,558.0,546.0,1104.0,79.0,33982.0,75
Kentucky,4,631,616,1247,100,19.6,19.4,20.5,20.1,20.0,4,630,618,1248,100,20.2,19.9,19.7,20.8,20.1,49,568.0,542.0,1110.0,80.0,44533.0,104
Louisiana,4,611,586,1198,100,19.4,18.8,19.8,19.6,19.5,4,615,595,1210,100,19.2,19.0,18.5,19.6,19.1,55,556.0,522.0,1079.0,75.0,44386.0,104
Maine,95,513,499,1012,8,24.2,24.0,24.8,23.7,24.3,99,512,501,1013,7,24.0,23.8,23.6,24.7,23.4,47,501.0,489.0,991.0,85.0,144.0,106
Maryland,69,536,524,1060,28,23.3,23.1,24.2,23.2,23.6,76,545,535,1080,31,22.5,22.1,22.0,23.1,22.2,40,518.0,507.0,1025.0,93.0,15236.0,107
Massachusetts,76,555,551,1107,29,25.4,25.3,25.9,24.7,25.4,80,562,563,1125,25,25.5,25.5,25.2,25.9,24.7,53,519.0,518.0,1036.0,91.0,14798.0,105
Michigan,100,509,495,1005,29,24.1,23.7,24.5,23.8,24.1,100,511,499,1011,22,24.4,24.5,23.9,24.7,23.9,34,509.0,497.0,1006.0,73.0,0.0,122
Minnesota,3,644,651,1295,100,20.4,21.5,21.8,21.6,21.5,4,643,655,1298,99,21.3,20.2,21.4,21.7,21.4,70,563.0,561.0,1124.0,83.0,59295.0,103
Mississippi,2,634,607,1242,100,18.2,18.1,18.8,18.8,18.6,3,630,606,1236,100,18.6,18.2,18.1,18.9,18.6,47,542.0,514.0,1057.0,77.0,28894.0,103
Missouri,3,640,631,1271,100,19.8,19.9,20.8,20.5,20.4,4,633,629,1262,100,20.0,19.5,19.7,20.5,20.0,56,573.0,551.0,1124.0,81.0,65934.0,104
Montana,10,605,591,1196,100,19.0,20.2,21.0,20.5,20.3,10,606,592,1198,100,20.0,18.7,19.9,20.7,20.0,72,533.0,524.0,1057.0,81.0,8462.0,110
Nebraska,3,629,625,1253,84,20.9,20.9,21.9,21.5,21.4,3,629,623,1252,100,20.1,19.4,19.8,20.4,20.1,60,553.0,535.0,1088.0,78.0,22918.0,103
Nevada,26,563,553,1116,100,16.3,18.0,18.1,18.2,17.8,23,574,566,1140,100,17.7,16.6,17.8,18.0,17.9,21,534.0,520.0,1054.0,92.0,19010.0,123
New Hampshire,96,532,520,1052,18,25.4,25.1,26.0,24.9,25.5,96,535,528,1063,16,25.1,25.1,24.7,25.6,24.4,50,530.0,520.0,1050.0,74.0,616.0,112
New Jersey,70,530,526,1056,34,23.8,23.8,24.1,23.2,23.9,82,547,547,1094,31,23.7,23.8,23.6,24.0,23.0,46,504.0,503.0,1007.0,91.0,18648.0,113
New Mexico,11,577,561,1138,66,18.6,19.4,20.4,20.0,19.7,16,552,540,1093,67,19.4,18.3,19.1,20.1,19.7,26,495.0,488.0,983.0,86.0,17202.0,83
New York,67,528,523,1052,31,23.8,24.0,24.6,23.9,24.2,79,534,534,1068,27,24.5,24.2,24.2,24.9,24.2,47,516.0,513.0,1030.0,88.0,43434.0,106
North Carolina,49,546,535,1081,100,17.8,19.3,19.6,19.3,19.1,52,554,543,1098,100,19.1,18.0,19.3,19.5,19.2,53,516.0,512.0,1028.0,75.0,50930.0,152
North Dakota,2,635,621,1256,98,19.0,20.4,20.5,20.6,20.3,2,640,643,1283,98,20.3,19.1,20.3,20.7,20.5,77,543.0,537.0,1081.0,73.0,7252.0,100
Ohio,12,578,570,1149,75,21.2,21.6,22.5,22.0,22.0,18,552,547,1099,100,20.3,19.3,20.3,20.8,20.4,51,535.0,527.0,1061.0,85.0,102068.0,118
Oklahoma,7,530,517,1047,100,18.5,18.8,20.1,19.6,19.4,8,541,521,1062,100,19.3,18.4,18.8,20.1,19.4,56,532.0,508.0,1040.0,86.0,38413.0,108
Oregon,43,560,548,1108,40,21.2,21.5,22.4,21.7,21.8,48,564,553,1117,42,21.3,20.6,20.9,21.9,21.1,34,525.0,513.0,1038.0,87.0,19102.0,90
Pennsylvania,65,540,531,1071,23,23.4,23.4,24.2,23.3,23.7,70,547,539,1086,20,23.5,23.3,23.2,24.0,23.1,51,510.0,502.0,1012.0,83.0,41716.0,90
Rhode Island,71,539,524,1062,21,24.0,23.3,24.7,23.4,24.0,97,513,505,1018,15,24.2,24.4,23.6,25.0,23.5,39,496.0,488.0,985.0,85.0,314.0,112
South Carolina,50,543,521,1064,100,17.5,18.6,19.1,18.9,18.7,55,547,523,1070,100,18.3,17.3,18.2,18.6,18.5,20,525.0,505.0,1030.0,89.0,20941.0,155
South Dakota,3,612,603,1216,80,20.7,21.5,22.3,22.0,21.8,3,622,618,1241,77,21.9,20.8,21.6,22.4,22.2,71,555.0,547.0,1102.0,68.0,8442.0,80
Tennessee,5,623,604,1228,100,19.5,19.2,20.1,19.9,19.8,6,624,607,1231,100,19.6,19.4,19.1,19.9,19.6,45,572.0,547.0,1119.0,83.0,63791.0,106
Texas,62,513,507,1020,45,19.5,20.7,21.1,20.9,20.7,66,520,512,1032,41,20.6,19.6,20.6,21.1,20.8,43,489.0,490.0,979.0,90.0,116148.0,107
Utah,3,624,614,1238,100,19.5,19.9,20.8,20.6,20.3,4,618,612,1230,100,20.4,19.7,19.9,20.9,20.5,68,567.0,552.0,1119.0,72.0,37158.0,104
Vermont,60,562,551,1114,29,23.3,23.1,24.4,23.2,23.6,64,565,554,1120,24,24.1,23.9,23.4,24.9,23.8,69,526.0,507.0,1033.0,86.0,2440.0,88
Virginia,65,561,541,1102,29,23.5,23.3,24.6,23.5,23.8,68,567,550,1117,24,23.9,23.8,23.3,24.7,23.5,39,524.0,507.0,1031.0,87.0,28946.0,92
Washington,64,541,534,1075,29,20.9,21.9,22.1,22.0,21.9,69,543,538,1081,24,22.2,21.4,22.2,22.7,22.0,48,513.0,509.0,1022.0,80.0,21795.0,93
West Virginia,14,558,528,1086,69,20.0,19.4,21.2,20.5,20.4,28,513,486,999,65,20.3,19.8,19.4,21.3,20.4,54,545.0,517.0,1062.0,56.0,12827.0,93
Wisconsin,3,642,649,1291,100,19.7,20.4,20.6,20.9,20.5,3,641,653,1294,100,20.5,19.8,20.3,20.6,20.8,69,545.0,533.0,1078.0,78.0,64259.0,103
Wyoming,3,626,604,1230,100,19.4,19.8,20.8,20.6,20.2,3,633,625,1257,100,20.0,19.0,19.7,20.6,20.3,68,563.0,541.0,1104.0,78.0,5645.0,103
